label,message,cleaned_message,message_length,word_count,label_encoded
ham,Happy birthday to your little one hope they have a wonderful day. Cheers!,happy birthday little one hope wonderful day cheer,73,13,0
ham,Let me know when you land safely please text me. Cheers!,let know land safely please text cheer,56,11,0
spam,You have won 1000 cash or a 2000 prize. To claim call our claim line 08714712372,cash prize claim call claim line,80,16,1
spam,Romance is just a text away meet local singles text MEET to 89600 now.,romance text away meet local single text meet,70,14,1
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 now.,please call customer service representative freephone,79,12,1
ham,Can you proofread my assignment before I submit it tonight? Let me know.,proofread assignment submit tonight let know,72,13,0
spam,You have been selected to receive RM2000. Contact us immediately to get your money. Act fast!,selected receive contact immediately get money act fast,93,16,1
ham,The repair shop called your laptop is ready for collection today. Cheers!,repair shop called laptop ready collection today cheer,73,12,0
spam,CASH PRIZE you have been awarded 500. To receive it reply with your details now. Call today!,cash prize awarded receive reply detail call today,92,17,1
ham,Just finished my exam feeling pretty good about it! Cheers!,finished exam feeling pretty good cheer,59,10,0
ham,Can you proofread my assignment before I submit it tonight? Cheers!,proofread assignment submit tonight cheer,67,11,0
spam,Your account needs verification click here immediately to avoid suspension.,account need verification click immediately avoid suspension,75,10,1
spam,Win the ultimate night out worth 1000 text NIGHT to 63222 right now. Act fast!,win ultimate night worth text night right act fast,78,15,1
ham,Kau okay tak tadi nampak macam penat je muka kau. Thanks.,kau okay tak tadi nampak macam penat muka kau thanks,57,11,0
spam,Amazing offer get 50 percent off all products this week only order now. Call today!,amazing offer get percent product week order call today,83,15,1
spam,Tahniah! Anda telah memenangi RM1000! Hubungi kami sekarang untuk menuntut hadiah anda. Reply now!,tahniah anda telah memenangi hubungi kami sekarang untuk menuntut hadiah anda reply,98,14,1
spam,You have been selected to receive RM2000. Contact us immediately to get your money.,selected receive contact immediately get money,83,14,1
ham,Let me know when you land safely please text me. Let me know.,let know land safely please text let know,61,13,0
ham,Great news about your promotion really well deserved you worked hard.,great news promotion really well deserved worked hard,69,11,0
spam,You have been selected to receive RM2000. Contact us immediately to get your money. Call today!,selected receive contact immediately get money call today,95,16,1
spam,You have been awarded RM5000 bonus. Verify your account to receive the transfer. Limited time!,awarded bonus verify account receive transfer limited time,94,15,1
ham,Happy New Year hope this year brings you great things. Cheers!,happy new year hope year brings great thing cheer,62,11,0
ham,Could you please water my plants while I am away this week?,could please water plant away week,59,12,0
spam,Your account needs verification click here immediately to avoid suspension. Call today!,account need verification click immediately avoid suspension call today,87,12,1
spam,Win a 1000 cash prize or a prize worth 5000. To claim just call 09050000327. Act fast!,win cash prize prize worth claim call act fast,86,17,1
spam,You won RM1000 in our lucky draw. Send your IC number to claim immediately. Limited time!,lucky draw send number claim immediately limited time,89,16,1
ham,I cannot make it tonight something came up at work sorry. Thanks.,make tonight something came work sorry thanks,65,12,0
spam,Tahniah! Anda telah memenangi RM1000! Hubungi kami sekarang untuk menuntut hadiah anda. Call today!,tahniah anda telah memenangi hubungi kami sekarang untuk menuntut hadiah anda call today,99,14,1
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 now. Limited time!,please call customer service representative freephone limited time,93,14,1
spam,You have unused loyalty points worth 80 claim before they expire tonight. Call today!,unused loyalty point worth claim expire tonight call today,85,14,1
spam,Amazing offer get 50 percent off all products this week only order now. Call today!,amazing offer get percent product week order call today,83,15,1
ham,Jom makan tengahari sama sama kat kedai biasa kita. Cheers!,jom makan tengahari sama sama kat kedai biasa kita cheer,59,10,0
ham,Boleh tolong ambilkan adik dari sekolah petang ni tak? Let me know.,boleh tolong ambilkan adik dari sekolah petang tak let know,67,12,0
ham,I cannot make it tonight something came up at work sorry.,make tonight something came work sorry,57,11,0
spam,You qualify for a free gift today. Claim before midnight. Text YES to 85023. Call today!,qualify free gift today claim midnight text yes call today,88,16,1
spam,Important tax refund notice you are owed money claim it now online. Limited time!,important tax refund notice owed money claim online limited time,81,14,1
