label,message
ham,Happy birthday to your little one hope they have a wonderful day. Cheers!
ham,Let me know when you land safely please text me. Cheers!
spam,You have won 1000 cash or a 2000 prize. To claim call our claim line 08714712372
spam,Romance is just a text away meet local singles text MEET to 89600 now.
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 now.
ham,Can you proofread my assignment before I submit it tonight? Let me know.
spam,You have been selected to receive RM2000. Contact us immediately to get your money. Act fast!
ham,The repair shop called your laptop is ready for collection today. Cheers!
spam,CASH PRIZE you have been awarded 500. To receive it reply with your details now. Call today!
ham,Just finished my exam feeling pretty good about it! Cheers!
ham,Can you proofread my assignment before I submit it tonight? Cheers!
spam,Your account needs verification click here immediately to avoid suspension.
spam,Win the ultimate night out worth 1000 text NIGHT to 63222 right now. Act fast!
ham,Kau okay tak tadi nampak macam penat je muka kau. Thanks.
spam,Amazing offer get 50 percent off all products this week only order now. Call today!
spam,Tahniah! Anda telah memenangi RM1000! Hubungi kami sekarang untuk menuntut hadiah anda. Reply now!
spam,You have been selected to receive RM2000. Contact us immediately to get your money.
ham,Let me know when you land safely please text me. Let me know.
ham,Great news about your promotion really well deserved you worked hard.
spam,You have been selected to receive RM2000. Contact us immediately to get your money. Call today!
spam,You have been awarded RM5000 bonus. Verify your account to receive the transfer. Limited time!
ham,Happy New Year hope this year brings you great things. Cheers!
ham,Could you please water my plants while I am away this week?
spam,Your account needs verification click here immediately to avoid suspension. Call today!
spam,Win a 1000 cash prize or a prize worth 5000. To claim just call 09050000327. Act fast!
spam,You won RM1000 in our lucky draw. Send your IC number to claim immediately. Limited time!
ham,I cannot make it tonight something came up at work sorry. Thanks.
spam,Tahniah! Anda telah memenangi RM1000! Hubungi kami sekarang untuk menuntut hadiah anda. Call today!
spam,Please call our customer service representative on FREEPHONE 0808 145 4742 now. Limited time!
spam,You have unused loyalty points worth 80 claim before they expire tonight. Call today!
spam,Amazing offer get 50 percent off all products this week only order now. Call today!
ham,Jom makan tengahari sama sama kat kedai biasa kita. Cheers!
ham,Boleh tolong ambilkan adik dari sekolah petang ni tak? Let me know.
ham,I cannot make it tonight something came up at work sorry.
spam,You qualify for a free gift today. Claim before midnight. Text YES to 85023. Call today!
spam,Important tax refund notice you are owed money claim it now online. Limited time!
spam,You won RM1000 in our lucky draw. Send your IC number to claim immediately. Call today!
spam,Tahniah! Anda telah memenangi RM1000! Hubungi kami sekarang untuk menuntut hadiah anda. Reply now!
spam,You just won 1000000 rm. Dont miss it! Call now to claim your prize. Act fast!
ham,Can you send me that document we discussed earlier? Let me know.
ham,Let me know when you land safely please text me. Cheers!
spam,IMPORTANT you could be entitled up to 3160 in compensation from your accident. Reply CLAIM. Reply now!
ham,The train is delayed by 15 minutes meet you at the coffee shop. Cheers!
spam,You are a winner! You have been specially selected to receive 1000 cash. Ring now ASAP.
ham,What time does the movie start tonight?
spam,Free ringtone waiting for you text MIX to 85069 to receive it now.
spam,URGENT! Your mobile number has been awarded a 2000 Bonus Caller Prize. Call 09066364589 now. Call today!
spam,You have been selected to receive RM2000. Contact us immediately to get your money.
spam,Exclusive offer double your minutes reply DEAL to claim your special offer. Act fast!
spam,Exclusive offer double your minutes reply DEAL to claim your special offer. Reply now!
ham,I am running a bit late should be there by half past 7. Let me know.
